patch_mask8\origin\hist26\image1.mha patch_mask8\label26\image1.mha
patch_mask8\origin\hist26\image2.mha patch_mask8\label26\image2.mha
patch_mask8\origin\hist26\image3.mha patch_mask8\label26\image3.mha
patch_mask8\origin\hist26\image4.mha patch_mask8\label26\image4.mha
patch_mask8\origin\hist26\image5.mha patch_mask8\label26\image5.mha
patch_mask8\origin\hist26\image6.mha patch_mask8\label26\image6.mha
patch_mask8\origin\hist26\image7.mha patch_mask8\label26\image7.mha
patch_mask8\origin\hist26\image8.mha patch_mask8\label26\image8.mha
patch_mask8\origin\hist26\image9.mha patch_mask8\label26\image9.mha
patch_mask8\origin\hist26\image10.mha patch_mask8\label26\image10.mha
patch_mask8\origin\hist26\image11.mha patch_mask8\label26\image11.mha
patch_mask8\origin\hist26\image12.mha patch_mask8\label26\image12.mha
patch_mask8\origin\hist26\image13.mha patch_mask8\label26\image13.mha
patch_mask8\origin\hist26\image14.mha patch_mask8\label26\image14.mha
patch_mask8\origin\hist26\image15.mha patch_mask8\label26\image15.mha
patch_mask8\origin\hist26\image16.mha patch_mask8\label26\image16.mha
patch_mask8\origin\hist26\image17.mha patch_mask8\label26\image17.mha
patch_mask8\origin\hist26\image18.mha patch_mask8\label26\image18.mha
patch_mask8\origin\hist26\image19.mha patch_mask8\label26\image19.mha
patch_mask8\origin\hist26\image20.mha patch_mask8\label26\image20.mha
patch_mask8\origin\hist26\image21.mha patch_mask8\label26\image21.mha
patch_mask8\origin\hist26\image22.mha patch_mask8\label26\image22.mha
patch_mask8\origin\hist26\image23.mha patch_mask8\label26\image23.mha
patch_mask8\origin\hist26\image24.mha patch_mask8\label26\image24.mha
patch_mask8\origin\hist26\image25.mha patch_mask8\label26\image25.mha
patch_mask8\origin\hist26\image26.mha patch_mask8\label26\image26.mha
patch_mask8\origin\hist26\image27.mha patch_mask8\label26\image27.mha
patch_mask8\origin\hist26\image28.mha patch_mask8\label26\image28.mha
patch_mask8\origin\hist26\image29.mha patch_mask8\label26\image29.mha
patch_mask8\origin\hist26\image30.mha patch_mask8\label26\image30.mha
patch_mask8\origin\hist26\image31.mha patch_mask8\label26\image31.mha
patch_mask8\origin\hist26\image32.mha patch_mask8\label26\image32.mha
patch_mask8\origin\hist26\image33.mha patch_mask8\label26\image33.mha
patch_mask8\origin\hist26\image34.mha patch_mask8\label26\image34.mha
patch_mask8\origin\hist26\image35.mha patch_mask8\label26\image35.mha
patch_mask8\origin\hist26\image36.mha patch_mask8\label26\image36.mha
patch_mask8\origin\hist26\image37.mha patch_mask8\label26\image37.mha
patch_mask8\origin\hist26\image38.mha patch_mask8\label26\image38.mha
patch_mask8\origin\hist26\image39.mha patch_mask8\label26\image39.mha
patch_mask8\origin\hist26\image40.mha patch_mask8\label26\image40.mha
patch_mask8\origin\hist26\image41.mha patch_mask8\label26\image41.mha
patch_mask8\origin\hist26\image42.mha patch_mask8\label26\image42.mha
patch_mask8\origin\hist26\image43.mha patch_mask8\label26\image43.mha
patch_mask8\origin\hist26\image44.mha patch_mask8\label26\image44.mha
patch_mask8\origin\hist26\image45.mha patch_mask8\label26\image45.mha
patch_mask8\origin\hist26\image46.mha patch_mask8\label26\image46.mha
patch_mask8\origin\hist26\image47.mha patch_mask8\label26\image47.mha
patch_mask8\origin\hist26\image48.mha patch_mask8\label26\image48.mha
patch_mask8\origin\hist26\image49.mha patch_mask8\label26\image49.mha
patch_mask8\origin\hist26\image50.mha patch_mask8\label26\image50.mha
patch_mask8\origin\hist26\image51.mha patch_mask8\label26\image51.mha
patch_mask8\origin\hist26\image52.mha patch_mask8\label26\image52.mha
patch_mask8\origin\hist26\image53.mha patch_mask8\label26\image53.mha
patch_mask8\origin\hist26\image54.mha patch_mask8\label26\image54.mha
patch_mask8\origin\hist26\image55.mha patch_mask8\label26\image55.mha
patch_mask8\origin\hist26\image56.mha patch_mask8\label26\image56.mha
patch_mask8\origin\hist26\image57.mha patch_mask8\label26\image57.mha
patch_mask8\origin\hist26\image58.mha patch_mask8\label26\image58.mha
patch_mask8\origin\hist26\image59.mha patch_mask8\label26\image59.mha
patch_mask8\origin\hist26\image60.mha patch_mask8\label26\image60.mha
patch_mask8\origin\hist26\image61.mha patch_mask8\label26\image61.mha
patch_mask8\origin\hist26\image62.mha patch_mask8\label26\image62.mha
patch_mask8\origin\hist26\image63.mha patch_mask8\label26\image63.mha
patch_mask8\origin\hist26\image64.mha patch_mask8\label26\image64.mha
patch_mask8\origin\hist26\image65.mha patch_mask8\label26\image65.mha
patch_mask8\origin\hist26\image66.mha patch_mask8\label26\image66.mha
patch_mask8\origin\hist26\image67.mha patch_mask8\label26\image67.mha
patch_mask8\origin\hist26\image68.mha patch_mask8\label26\image68.mha
patch_mask8\origin\hist26\image69.mha patch_mask8\label26\image69.mha
patch_mask8\origin\hist26\image70.mha patch_mask8\label26\image70.mha
patch_mask8\origin\hist26\image71.mha patch_mask8\label26\image71.mha
patch_mask8\origin\hist26\image72.mha patch_mask8\label26\image72.mha
patch_mask8\origin\hist26\image73.mha patch_mask8\label26\image73.mha
patch_mask8\origin\hist26\image74.mha patch_mask8\label26\image74.mha
patch_mask8\origin\hist26\image75.mha patch_mask8\label26\image75.mha
patch_mask8\origin\hist26\image76.mha patch_mask8\label26\image76.mha
patch_mask8\origin\hist26\image77.mha patch_mask8\label26\image77.mha
patch_mask8\origin\hist26\image78.mha patch_mask8\label26\image78.mha
patch_mask8\origin\hist26\image79.mha patch_mask8\label26\image79.mha
patch_mask8\origin\hist26\image80.mha patch_mask8\label26\image80.mha
patch_mask8\origin\hist26\image81.mha patch_mask8\label26\image81.mha
patch_mask8\origin\hist26\image82.mha patch_mask8\label26\image82.mha
patch_mask8\origin\hist26\image83.mha patch_mask8\label26\image83.mha
