patch_mask8\origin\hist01\image1.mha patch_mask8\label01\image1.mha
patch_mask8\origin\hist01\image2.mha patch_mask8\label01\image2.mha
patch_mask8\origin\hist01\image3.mha patch_mask8\label01\image3.mha
patch_mask8\origin\hist01\image4.mha patch_mask8\label01\image4.mha
patch_mask8\origin\hist01\image5.mha patch_mask8\label01\image5.mha
patch_mask8\origin\hist01\image6.mha patch_mask8\label01\image6.mha
patch_mask8\origin\hist01\image7.mha patch_mask8\label01\image7.mha
patch_mask8\origin\hist01\image8.mha patch_mask8\label01\image8.mha
patch_mask8\origin\hist01\image9.mha patch_mask8\label01\image9.mha
patch_mask8\origin\hist01\image10.mha patch_mask8\label01\image10.mha
patch_mask8\origin\hist01\image11.mha patch_mask8\label01\image11.mha
patch_mask8\origin\hist01\image12.mha patch_mask8\label01\image12.mha
patch_mask8\origin\hist01\image13.mha patch_mask8\label01\image13.mha
patch_mask8\origin\hist01\image14.mha patch_mask8\label01\image14.mha
patch_mask8\origin\hist01\image15.mha patch_mask8\label01\image15.mha
patch_mask8\origin\hist01\image16.mha patch_mask8\label01\image16.mha
patch_mask8\origin\hist01\image17.mha patch_mask8\label01\image17.mha
patch_mask8\origin\hist01\image18.mha patch_mask8\label01\image18.mha
patch_mask8\origin\hist01\image19.mha patch_mask8\label01\image19.mha
patch_mask8\origin\hist01\image20.mha patch_mask8\label01\image20.mha
patch_mask8\origin\hist01\image21.mha patch_mask8\label01\image21.mha
patch_mask8\origin\hist01\image22.mha patch_mask8\label01\image22.mha
patch_mask8\origin\hist01\image23.mha patch_mask8\label01\image23.mha
patch_mask8\origin\hist01\image24.mha patch_mask8\label01\image24.mha
patch_mask8\origin\hist01\image25.mha patch_mask8\label01\image25.mha
patch_mask8\origin\hist01\image26.mha patch_mask8\label01\image26.mha
patch_mask8\origin\hist01\image27.mha patch_mask8\label01\image27.mha
patch_mask8\origin\hist01\image28.mha patch_mask8\label01\image28.mha
patch_mask8\origin\hist01\image29.mha patch_mask8\label01\image29.mha
patch_mask8\origin\hist01\image30.mha patch_mask8\label01\image30.mha
patch_mask8\origin\hist01\image31.mha patch_mask8\label01\image31.mha
patch_mask8\origin\hist01\image32.mha patch_mask8\label01\image32.mha
patch_mask8\origin\hist01\image33.mha patch_mask8\label01\image33.mha
patch_mask8\origin\hist01\image34.mha patch_mask8\label01\image34.mha
patch_mask8\origin\hist01\image35.mha patch_mask8\label01\image35.mha
patch_mask8\origin\hist01\image36.mha patch_mask8\label01\image36.mha
patch_mask8\origin\hist01\image37.mha patch_mask8\label01\image37.mha
patch_mask8\origin\hist01\image38.mha patch_mask8\label01\image38.mha
